0, L: 21.0°, R: 129.0°, Yaw: 0.0, Rate: 52.43, Note: Init Done
2, L: 21.0°, R: 129.0°, Yaw: -0.1226196, Rate: 50.61, Note: drive 250mm
1095, L: 371.0°, R: 488.0°, Yaw: -2.829254, Rate: 4.83, Note: drive 250mm
2097, L: 502.0°, R: 360.0°, Yaw: 89.84296, Rate: 0.42, Note: drive 250mm
3070, L: 853.0°, R: 723.0°, Yaw: 85.09924, Rate: -10.92, Note: drive 250mm
4082, L: 715.0°, R: 847.0°, Yaw: -9.888031, Rate: -3.92, Note: drive 150mm
4815, L: 952.0°, R: 1072.0°, Yaw: -5.901031, Rate: 3.57, Note: drive 150mm
