0, L: -112.0°, R: 133.0°, Yaw: 0.0, Rate: 0.05944281, Note: Init Done
3, L: -112.0°, R: 133.0°, Yaw: 3.051758e-05, Rate: -0.08055719, Note: drive 250mm
994, L: 249.0°, R: 494.0°, Yaw: 0.1638794, Rate: -0.2205572, Note: drive 250mm
1980, L: 386.0°, R: 356.0°, Yaw: 94.82266, Rate: -1.060557, Note: drive 250mm
2955, L: 740.0°, R: 722.0°, Yaw: 90.74838, Rate: 1.179443, Note: drive 250mm
3945, L: 878.0°, R: 582.0°, Yaw: 185.2661, Rate: 3.909443, Note: drive 250mm
4920, L: 1235.0°, R: 950.0°, Yaw: 181.7995, Rate: 3.979443, Note: drive 250mm
5915, L: 1370.0°, R: 809.0°, Yaw: 275.1749, Rate: 2.159443, Note: drive 250mm
6890, L: 1726.0°, R: 1177.0°, Yaw: 270.8669, Rate: -0.5005572, Note: drive 250mm 
